52.87222222222222 343.8865768015872 [7, 9, 7, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 0, 3, 2, 15, 11, 1, 15, 7, 11, 9, 9, 1, 3, 3, 15, 14, 10, 13, 0, 9, 12, 4, 15, 7, 0, 11, 3, 7, 9, 5, 11, 4, 5, 9, 7, 3, 1, 11, 0, 1, 15, 4, 5, 11, 11, 9, 2, 12, 15, 13, 4, 15, 11, 4, 5, 9, 7, 3, 11, 4, 8, 0, 3, 4, 2, 7, 8, 0, 0, 5, 7, 15, 6, 3, 11, 4, 8, 0, 11, 1, 15]
53.50595238095239 280.30133658928577 [7, 9, 7, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 0, 3, 15, 7, 2, 7, 9, 3, 11, 4, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 9, 7, 3, 4, 11, 4, 15, 1, 0, 11, 1, 3, 7, 9, 5, 4, 11, 11, 9, 8, 4, 8, 0, 3, 4, 11, 4, 3, 7, 9, 5, 8, 4, 7, 11, 12, 4, 9, 8, 9, 7, 15]
54.523809523809526 252.14077169841272 [11, 11, 3, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 4, 11, 3, 7, 9, 5, 4, 11, 0, 3, 11, 8, 4, 11, 3, 7, 9, 5, 7, 4, 11, 9, 4, 12, 7, 3, 11, 4, 8, 1, 9, 3, 11, 7, 7, 11, 12, 9, 5, 8, 0, 4, 11]
54.523809523809526 252.14077169841272 [11, 11, 3, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 4, 11, 3, 7, 9, 5, 4, 11, 0, 3, 11, 8, 4, 11, 3, 7, 9, 5, 7, 4, 11, 9, 4, 12, 7, 3, 11, 4, 8, 1, 9, 3, 11, 7, 7, 11, 12, 9, 5, 8, 0, 4, 11]
54.72380952380953 233.29605682142864 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 11, 4, 5, 4, 4, 11, 9, 9, 1, 8, 4, 11, 3, 7, 9, 5, 4, 11, 0, 3, 11, 8, 4, 11, 3, 7, 9, 5, 7, 3, 2, 11, 9, 5, 4, 11, 3, 9, 7, 11, 8, 0, 7, 4, 7, 11, 12, 4, 4, 5, 8, 9, 9]
56.92261904761905 226.27728979960318 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 9, 7, 3, 4, 11, 4, 11, 0, 3, 11, 8, 4, 11, 3, 7, 9, 5, 7, 3, 2, 11, 9, 5, 9, 11, 3, 11, 4, 9, 5, 9, 7, 4, 11, 7, 9, 3, 11, 4, 4, 9, 9]
55.49404761904761 231.6918988075397 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 9, 7, 3, 4, 11, 4, 3, 0, 8, 11, 8, 4, 11, 3, 7, 9, 5, 7, 3, 2, 11, 9, 5, 4, 11, 3, 9, 7, 7, 11, 5, 8, 4, 7, 9, 0, 11, 11, 5, 8, 9, 9]
53.083333333333336 332.79185744047595 [7, 9, 7, 0, 11, 7, 9, 5, 11, 9, 12, 4, 9, 8, 5, 0, 3, 2, 15, 11, 1, 15, 7, 11, 9, 9, 1, 3, 3, 15, 14, 10, 13, 0, 9, 12, 5, 4, 11, 15, 4, 13, 15, 12, 4, 5, 4, 4, 11, 9, 9, 1, 8, 4, 11, 3, 7, 9, 5, 4, 11, 0, 9, 7, 3, 11, 0, 7, 15, 4, 9, 7, 3, 11, 4, 8, 0, 3, 4, 2, 7, 8, 0, 0, 5, 7, 15, 6, 3, 11, 4, 8, 0, 11, 1, 15]
56.66428571428571 228.5280541388889 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 4, 11, 3, 7, 9, 5, 4, 11, 0, 3, 11, 8, 4, 11, 3, 7, 9, 5, 7, 4, 11, 9, 4, 12, 7, 11, 3, 0, 11, 4, 5, 9, 7, 3, 11, 7, 11, 4, 4, 5, 8, 9, 9]
57.785714285714285 209.9443240119047 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 4, 11, 3, 7, 9, 5, 4, 7, 0, 3, 9, 9, 7, 11, 3, 3, 7, 0, 11, 9, 11, 4, 5, 9, 7, 11, 3, 0, 11, 4, 5, 9, 7, 3, 11, 7, 11, 4, 4, 5, 8, 9, 9]
64.85714285714288 208.57023388095243 [11, 3, 7, 9, 9, 7, 11, 3, 3, 7, 0, 11, 9, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 11, 4, 7, 9, 5, 9, 4, 11, 3, 11, 9, 4, 11, 3, 7, 9, 5, 7, 4, 9, 9, 5, 4, 11, 3, 9, 7, 11, 11, 4, 3, 7, 9, 9, 3, 11, 4, 4, 9, 7, 11, 4]
61.5 209.4450923095238 [7, 11, 9, 5, 4, 7, 9, 5, 9, 11, 2, 9, 5, 8, 5, 4, 4, 11, 7, 2, 7, 9, 5, 7, 11, 0, 1, 11, 0, 4, 4, 0, 8, 5, 9, 7, 11, 3, 3, 7, 5, 0, 9, 8, 9, 5, 4, 4, 11, 9, 9, 1, 8, 5, 11, 4, 7, 9, 5, 9, 4, 11, 3, 11, 9, 4, 11, 3, 7, 9, 5, 7, 3, 2, 11, 9, 9, 7, 3, 11, 11, 7, 9, 4, 3, 3, 4, 11, 7, 11, 4, 4, 5, 4, 9, 9]
